ID,ORG_ID,JOB_TYPE_ID,TITLE,SLUG,META_TITLE,META_KEYWORDS,META_DESCRIPTION,NUMBER_REQUEST,END_DATE,REGION_CODE,REGION_NAME,REGION_PREFIX,WORK_ADDRESS,DESCRIPTION,REQUIREMENT,BENEFIT,IS_DISPLAY,PUBLISHED_AT,LAST_UPDATED_AT,IS_DELETED,CREATED_AT,UPDATED_AT
11,958f55be-2787-4b4a-94fd-f9b3571f1604,1,Tuyển 1,tuyen-1,Tuyển 1,Tuyển 1,Tuyển 1,45355,2022-11-11,,,,,,,,YES,2022-11-21 09:56:11.000,2022-11-21 08:50:11.000,NO,2022-11-21 08:50:11.000,2022-12-12 10:10:28.000
12,958f55be-2787-4b4a-94fd-f9b3571f1604,1,Tuyển 2,tuyen-2,Tuyển 2,Tuyển 2,Tuyển 2,45356,2022-11-12,,,,,,,,YES,2022-11-21 09:56:19.000,2022-11-21 08:50:21.000,NO,2022-11-21 08:50:21.000,2022-12-12 10:10:28.000
13,958f55be-2787-4b4a-94fd-f9b3571f1604,1,Tuyển 3,tuyen-3,Tuyển 3,Tuyển 3,Tuyển 3,45357,2022-11-13,,,,,,,,YES,2022-11-21 09:56:27.000,2022-11-21 08:50:35.000,NO,2022-11-21 08:50:35.000,2022-12-12 10:10:28.000
14,958f55be-2787-4b4a-94fd-f9b3571f1604,1,Tuyển 4,tuyen-4,Tuyển 4,Tuyển 4,Tuyển 4,45358,2022-11-14,01,Hà Nội,Thành phố,,,,,YES,2022-11-21 09:56:35.000,2022-11-21 09:51:56.000,NO,2022-11-21 08:50:46.000,2022-12-12 10:10:28.000
15,958f55be-2787-4b4a-94fd-f9b3571f1604,1,Tuyển 5,tuyen-5,Tuyển 5,Tuyển 5,Tuyển 5,45359,2022-11-15,,,,,,,,YES,2022-11-21 09:56:44.000,2022-11-21 08:50:56.000,NO,2022-11-21 08:50:56.000,2022-12-12 10:10:28.000
16,958f55be-2787-4b4a-94fd-f9b3571f1604,1,Tuyển dụng 8,tuyen-dung-8,Tuyển dụng 8,Tuyển dụng 8,Tuyển dụng 8,45360,2022-11-16,,,,,,,,YES,2022-11-21 09:56:54.000,2022-11-21 09:12:44.000,NO,2022-11-21 09:12:44.000,2022-12-12 10:10:28.000
17,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tuyển 3,tuyen-3,tuyển 3,tuyển 3,tuyển 3,45361,2022-11-17,,,,,,,,YES,2022-11-21 09:57:04.000,2022-11-21 09:21:03.000,NO,2022-11-21 09:21:03.000,2022-12-12 10:10:28.000
18,958f55be-2787-4b4a-94fd-f9b3571f1604,1,tuyển 4,tuyen-4,tuyển 4,tuyển 4,tuyển 4,45362,2022-11-18,,,,,,,,YES,2022-11-21 09:57:11.000,2022-11-21 09:21:11.000,NO,2022-11-21 09:21:11.000,2022-12-13 03:52:52.000
19,958f55be-2787-4b4a-94fd-f9b3571f1604,1,Tuyển 5,tuyen-5,Tuyển 5,Tuyển 5,Tuyển 5,45363,2022-11-19,,,,,,,,YES,2022-11-21 09:57:18.000,2022-11-21 09:27:38.000,NO,2022-11-21 09:27:38.000,2022-12-12 10:10:28.000
20,958f55be-2787-4b4a-94fd-f9b3571f1604,1,Tuyển 6,t-u-y-e-n-6,Tuyển 6,Tuyển 6,Tuyển 6,45364,2022-11-20,,,,,,,,YES,2022-11-21 09:57:27.000,2022-11-21 09:28:28.000,NO,2022-11-21 09:28:28.000,2022-12-13 03:53:13.000
